gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass
NVIDIA H200,bfloat16,128,128,0,hopper/wmma_fast,1.9344000145792961,1.9303999841213226,1.9363999366760254,5,False
NVIDIA H200,bfloat16,128,128,0,hopper/wmma_split,2.028599940240383,2.0155999809503555,2.0454000681638718,5,False
NVIDIA H200,bfloat16,128,128,1,dao,1.728999987244606,1.7255999147891998,1.7311999574303627,5,True
NVIDIA H200,bfloat16,128,128,1,dao_plus_quant,3.279000148177147,3.27799990773201,3.2806001603603363,5,True
NVIDIA H200,bfloat16,128,128,1,hopper/mma_fast,1.6459999606013298,1.626800000667572,1.6472000628709793,5,True
NVIDIA H200,bfloat16,128,128,1,hopper/mma_split,1.6607999801635742,1.6599999740719795,1.662999950349331,5,True
NVIDIA H200,bfloat16,128,128,1,hopper/warp,1.5243999660015106,1.523400004953146,1.5251999720931053,5,True
NVIDIA H200,bfloat16,128,128,1,hopper/wmma_fast,1.9505999982357025,1.9484000280499458,1.9514000043272972,5,True
NVIDIA H200,bfloat16,128,128,1,hopper/wmma_split,1.9929999485611916,1.9829999655485153,1.995600014925003,5,True
NVIDIA H200,bfloat16,128,256,0,dao,1.7459999769926071,1.72520000487566,1.7483999952673912,5,True
NVIDIA H200,bfloat16,128,256,0,dao_plus_quant,3.255999833345413,3.2558001577854156,3.2572001218795776,5,True
NVIDIA H200,bfloat16,128,256,0,hopper/mma_fast,1.6408000141382217,1.6392000019550323,1.6419999301433563,5,False
NVIDIA H200,bfloat16,128,256,0,hopper/mma_split,1.6697999089956284,1.6685999929904938,1.6715999692678452,5,True
NVIDIA H200,bfloat16,128,256,0,hopper/warp,1.6060000285506248,1.6057999804615974,1.607000082731247,5,True
NVIDIA H200,bfloat16,128,256,0,hopper/wmma_fast,1.917799934744835,1.913600042462349,1.9269999116659164,5,False
NVIDIA H200,bfloat16,128,256,0,hopper/wmma_split,2.0673999562859535,2.0659999921917915,2.068999968469143,5,True
NVIDIA H200,bfloat16,128,256,1,dao,1.7659999430179596,1.7441999167203903,1.7680000513792038,5,True
NVIDIA H200,bfloat16,128,256,1,dao_plus_quant,3.2152000814676285,3.2118000090122223,3.286999836564064,5,True
NVIDIA H200,bfloat16,128,256,1,hopper/mma_fast,1.6394000500440598,1.6176000237464905,1.6440000385046005,5,True
NVIDIA H200,bfloat16,128,256,1,hopper/mma_split,1.6853999346494675,1.682800054550171,1.6863999888300896,5,True
