gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,tc_split,transform,0.80751,0.800416,0.814688,2.096,1.00831,0.00194907,0.000207724,0.000471425,0.500122,0.999877,n/a
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,unfused_int4,fused_int4,1.27655,1.26512,1.2945,1,0.367857,,,,,,reference
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,fused_opt_int4,fused_int4,0.573315,0.554816,0.582144,2.22661,0.819075,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,fused_warp_int4,fused_int4,0.469588,0.468256,0.476288,2.71845,1,,,,,,bit-exact
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0733629,0.0728,0.082048,1,0.291483,0.0149536,0.00166403,0.00376828,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,optimized,transform,0.021384,0.020864,0.02624,3.43074,1,0.0149536,0.00166403,0.00376828,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,warp,transform,0.0214019,0.0208,0.022976,3.42786,0.999163,0.0149536,0.00166403,0.00376828,0.5,1,n/a
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.0194362,0.01888,0.021376,3.77456,1.10022,0.0193481,0.00237888,0.00610183,1.05078,0.597605,n/a
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0232746,0.022688,0.024992,3.15206,0.918771,0.0149536,0.00166403,0.00376828,0.500427,0.999708,n/a
NVIDIA L40S,bf16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.0929904,0.092512,0.09424,1,0.236432,,,,,,reference
