gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w4_tc4_v0,fp16,128,tc_fast,3,46.9066,46.8352,46.9382
NVIDIA H200,w4_tc4_v0,fp16,128,tc_split,3,57.1277,57.050200000000004,57.201
NVIDIA H200,w4_tc4_v0,fp16,128,unfused_int4,3,107.24799999999999,107.227,107.282
NVIDIA H200,w4_tc4_v0,fp16,128,warp,3,25.683799999999998,25.5059,25.775699999999997
NVIDIA H200,w4_tc4_v0,fp16,256,baseline,3,197.717,197.636,197.852
NVIDIA H200,w4_tc4_v0,fp16,256,fused_opt_int4,3,98.1408,97.9165,98.2054
NVIDIA H200,w4_tc4_v0,fp16,256,fused_tc_fast_int4,3,88.7114,88.62530000000001,88.8557
NVIDIA H200,w4_tc4_v0,fp16,256,fused_tc_split_int4,3,108.905,108.898,109.154
NVIDIA H200,w4_tc4_v0,fp16,256,fused_warp_int4,3,51.089299999999994,51.0614,51.4342
NVIDIA H200,w4_tc4_v0,fp16,256,optimized,3,85.0534,85.0,85.0698
NVIDIA H200,w4_tc4_v0,fp16,256,tc_fast,3,87.90979999999999,87.8963,88.0637
NVIDIA H200,w4_tc4_v0,fp16,256,tc_split,3,108.39,108.364,108.75999999999999
NVIDIA H200,w4_tc4_v0,fp16,256,unfused_int4,3,120.923,120.816,121.359
NVIDIA H200,w4_tc4_v0,fp16,256,warp,3,39.7155,39.5488,39.9699
NVIDIA H200,w4_tc4_v1,bf16,64,baseline,3,84.255,84.2096,84.26780000000001
NVIDIA H200,w4_tc4_v1,bf16,64,fused_opt_int4,3,84.2278,84.217,84.369
NVIDIA H200,w4_tc4_v1,bf16,64,fused_tc_fast_int4,3,21.848,21.816300000000002,21.848300000000002
NVIDIA H200,w4_tc4_v1,bf16,64,fused_tc_split_int4,3,24.5549,24.5318,24.7168
NVIDIA H200,w4_tc4_v1,bf16,64,fused_warp_int4,3,25.0832,25.0627,25.1693
NVIDIA H200,w4_tc4_v1,bf16,64,optimized,3,24.9181,24.897,24.9331
NVIDIA H200,w4_tc4_v1,bf16,64,tc_fast,3,21.3818,21.3763,21.5229
NVIDIA H200,w4_tc4_v1,bf16,64,tc_split,3,24.2883,24.2384,24.3082
NVIDIA H200,w4_tc4_v1,bf16,64,unfused_int4,3,106.60799999999999,106.38300000000001,106.676
NVIDIA H200,w4_tc4_v1,bf16,64,warp,3,24.825,24.784299999999998,24.8813
NVIDIA H200,w4_tc4_v1,bf16,128,baseline,3,100.11399999999999,100.083,100.18299999999999
NVIDIA H200,w4_tc4_v1,bf16,128,fused_opt_int4,3,84.7104,84.7053,84.7718
NVIDIA H200,w4_tc4_v1,bf16,128,fused_tc_fast_int4,3,38.4045,38.3974,38.4653
NVIDIA H200,w4_tc4_v1,bf16,128,fused_tc_split_int4,3,43.8685,43.8278,43.881
NVIDIA H200,w4_tc4_v1,bf16,128,fused_warp_int4,3,31.449900000000003,31.3936,31.493100000000002
NVIDIA H200,w4_tc4_v1,bf16,128,optimized,3,45.1491,45.1402,45.2038
NVIDIA H200,w4_tc4_v1,bf16,128,tc_fast,3,38.3082,38.2893,38.3907
NVIDIA H200,w4_tc4_v1,bf16,128,tc_split,3,43.503,43.497,43.5494
NVIDIA H200,w4_tc4_v1,bf16,128,unfused_int4,3,107.313,107.284,107.398
