gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,7,70.64279913902283,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,7,33.29460024833679,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,7,22.814999520778656,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,7,22.910000383853912,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,7,24.152599275112152,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,8,22.89160043001175,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,8,22.80299961566925,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,8,33.39880108833313,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,8,70.77280282974243,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,8,24.21880066394806,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,0,248.91860485076904,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,0,537.3509883880615,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,0,169.3459987640381,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,0,159.28020477294922,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,0,160.70679426193237,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,1,250.8620023727417,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,1,159.84480381011963,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,1,160.3010058403015,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,1,172.993004322052,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,1,541.8439865112305,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,2,170.85740566253662,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,2,161.19279861450195,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,2,160.96539497375488,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,2,251.69939994812012,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,2,540.7462120056152,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,3,170.84660530090332,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,3,541.1231994628906,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,3,250.80139636993408,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,3,160.00560522079468,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,3,160.17279624938965,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,4,161.07399463653564,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,4,251.0037899017334,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,4,541.2487983703613,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,4,170.81420421600342,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,4,160.81299781799316,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,5,160.92640161514282,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,5,161.15599870681763,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,5,172.86360263824463,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,5,541.6934013366699,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,5,251.214599609375,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,6,540.7264232635498,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,6,170.6004023551941,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,6,161.62259578704834,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,6,161.13359928131104,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,6,251.1375904083252,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao_plus_quant,7,541.3968086242676,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,1024,1,dao,7,250.8620023727417,0.0,True,16,10,graph_amortized_device
