gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w2_tc2_v0,fp16,1024,warp,3,170.7,170.66500000000002,170.9
NVIDIA H200,w4_tc4_v0,bf16,64,baseline,3,84.5104,84.4784,84.5318
NVIDIA H200,w4_tc4_v0,bf16,64,fused_opt_int4,3,84.3907,84.3638,84.4234
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_fast_int4,3,27.7181,27.6554,27.752599999999997
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_split_int4,3,33.346199999999996,33.24,33.5136
NVIDIA H200,w4_tc4_v0,bf16,64,fused_warp_int4,3,25.3024,25.2893,25.4106
NVIDIA H200,w4_tc4_v0,bf16,64,optimized,3,25.127,25.0771,25.2058
NVIDIA H200,w4_tc4_v0,bf16,64,tc_fast,3,27.4358,27.4058,27.4522
NVIDIA H200,w4_tc4_v0,bf16,64,tc_split,3,32.8701,32.838699999999996,32.9168
NVIDIA H200,w4_tc4_v0,bf16,64,unfused_int4,3,106.89800000000001,106.82600000000001,106.99
NVIDIA H200,w4_tc4_v0,bf16,64,warp,3,25.048299999999998,24.992,25.084200000000003
NVIDIA H200,w4_tc4_v0,bf16,128,baseline,3,100.335,100.275,100.363
NVIDIA H200,w4_tc4_v0,bf16,128,fused_opt_int4,3,84.9123,84.9043,84.9306
NVIDIA H200,w4_tc4_v0,bf16,128,fused_tc_fast_int4,3,49.460499999999996,49.3949,49.565400000000004
NVIDIA H200,w4_tc4_v0,bf16,128,fused_tc_split_int4,3,60.8224,60.7773,60.8733
NVIDIA H200,w4_tc4_v0,bf16,128,fused_warp_int4,3,31.7264,31.5987,31.763800000000003
NVIDIA H200,w4_tc4_v0,bf16,128,optimized,3,45.3078,45.2525,45.328
NVIDIA H200,w4_tc4_v0,bf16,128,tc_fast,3,49.189099999999996,49.139500000000005,49.192
NVIDIA H200,w4_tc4_v0,bf16,128,tc_split,3,60.0336,59.998400000000004,60.0496
NVIDIA H200,w4_tc4_v0,bf16,128,unfused_int4,3,107.50999999999999,107.492,107.595
NVIDIA H200,w4_tc4_v0,bf16,128,warp,3,25.6733,25.5501,25.7078
NVIDIA H200,w4_tc4_v0,bf16,256,baseline,3,197.951,197.908,198.108
NVIDIA H200,w4_tc4_v0,bf16,256,fused_opt_int4,3,98.9539,98.887,99.0518
NVIDIA H200,w4_tc4_v0,bf16,256,fused_tc_fast_int4,3,93.4752,93.30460000000001,93.721
NVIDIA H200,w4_tc4_v0,bf16,256,fused_tc_split_int4,3,116.018,116.017,116.15599999999999
NVIDIA H200,w4_tc4_v0,bf16,256,fused_warp_int4,3,52.3779,52.229400000000005,52.4554
NVIDIA H200,w4_tc4_v0,bf16,256,optimized,3,85.17439999999999,85.10979999999999,85.3942
NVIDIA H200,w4_tc4_v0,bf16,256,tc_fast,3,92.44380000000001,92.384,92.5421
NVIDIA H200,w4_tc4_v0,bf16,256,tc_split,3,114.11200000000001,114.076,114.229
NVIDIA H200,w4_tc4_v0,bf16,256,unfused_int4,3,122.784,122.738,122.96300000000001
NVIDIA H200,w4_tc4_v0,bf16,256,warp,3,41.1779,41.1482,41.3722
NVIDIA H200,w4_tc4_v0,bf16,512,baseline,3,413.248,413.246,413.296
NVIDIA H200,w4_tc4_v0,bf16,512,fused_opt_int4,3,209.779,209.772,209.804
NVIDIA H200,w4_tc4_v0,bf16,512,fused_warp_int4,3,85.1722,85.153,85.30980000000001
NVIDIA H200,w4_tc4_v0,bf16,512,optimized,3,162.95100000000002,162.833,162.967
NVIDIA H200,w4_tc4_v0,bf16,512,tc_fast,3,166.95399999999998,166.868,167.02900000000002
NVIDIA H200,w4_tc4_v0,bf16,512,tc_split,3,213.091,213.091,213.15300000000002
NVIDIA H200,w4_tc4_v0,bf16,512,unfused_int4,3,212.35999999999999,212.347,212.534
NVIDIA H200,w4_tc4_v0,bf16,512,warp,3,72.9286,72.91739999999999,72.9533
NVIDIA H200,w4_tc4_v0,bf16,1024,baseline,3,916.323,916.218,916.783
NVIDIA H200,w4_tc4_v0,bf16,1024,fused_opt_int4,3,468.72200000000004,468.65000000000003,468.796
NVIDIA H200,w4_tc4_v0,bf16,1024,fused_warp_int4,3,174.566,174.497,174.626
NVIDIA H200,w4_tc4_v0,bf16,1024,optimized,3,365.36600000000004,365.228,366.268
NVIDIA H200,w4_tc4_v0,bf16,1024,tc_fast,3,314.316,314.06800000000004,314.326
NVIDIA H200,w4_tc4_v0,bf16,1024,tc_split,3,402.6,402.173,402.621
NVIDIA H200,w4_tc4_v0,bf16,1024,unfused_int4,3,470.22,469.246,470.492
NVIDIA H200,w4_tc4_v0,bf16,1024,warp,3,171.854,171.548,171.869
NVIDIA H200,w4_tc4_v0,fp16,64,baseline,3,84.40899999999999,84.38560000000001,84.42370000000001
NVIDIA H200,w4_tc4_v0,fp16,64,fused_opt_int4,3,84.3536,84.27170000000001,84.4861
NVIDIA H200,w4_tc4_v0,fp16,64,fused_tc_fast_int4,3,26.491500000000002,26.346600000000002,26.5786
NVIDIA H200,w4_tc4_v0,fp16,64,fused_tc_split_int4,3,31.575400000000002,31.487399999999997,31.755499999999998
NVIDIA H200,w4_tc4_v0,fp16,64,fused_warp_int4,3,25.339199999999998,25.238699999999998,25.341099999999997
NVIDIA H200,w4_tc4_v0,fp16,64,optimized,3,25.1293,24.975399999999997,25.1472
NVIDIA H200,w4_tc4_v0,fp16,64,tc_fast,3,26.275199999999998,26.0986,26.3498
NVIDIA H200,w4_tc4_v0,fp16,64,tc_split,3,31.537599999999998,31.315500000000004,31.793599999999998
NVIDIA H200,w4_tc4_v0,fp16,64,unfused_int4,3,106.744,106.583,106.833
NVIDIA H200,w4_tc4_v0,fp16,64,warp,3,24.9674,24.9085,25.04
NVIDIA H200,w4_tc4_v0,fp16,128,baseline,3,100.33,100.263,100.53399999999999
NVIDIA H200,w4_tc4_v0,fp16,128,fused_opt_int4,3,84.929,84.8976,85.032
NVIDIA H200,w4_tc4_v0,fp16,128,fused_tc_fast_int4,3,47.3885,47.288999999999994,47.666199999999996
NVIDIA H200,w4_tc4_v0,fp16,128,fused_tc_split_int4,3,57.5754,57.2778,57.9357
NVIDIA H200,w4_tc4_v0,fp16,128,fused_warp_int4,3,31.2461,31.1987,31.264599999999998
NVIDIA H200,w4_tc4_v0,fp16,128,optimized,3,45.368,45.3168,45.5021
NVIDIA H200,w4_tc4_v0,fp16,128,tc_fast,3,47.3072,47.0115,47.5229
NVIDIA H200,w4_tc4_v0,fp16,128,tc_split,3,57.5773,57.2774,57.9024
NVIDIA H200,w4_tc4_v0,fp16,128,unfused_int4,3,107.59299999999999,107.436,107.60799999999999
NVIDIA H200,w4_tc4_v0,fp16,128,warp,3,25.5498,25.4618,25.6454
NVIDIA H200,w4_tc4_v0,fp16,256,baseline,3,197.995,197.972,198.00300000000001
NVIDIA H200,w4_tc4_v0,fp16,256,fused_opt_int4,3,98.31389999999999,98.1837,98.327
NVIDIA H200,w4_tc4_v0,fp16,256,fused_tc_fast_int4,3,89.0416,88.9136,89.72
NVIDIA H200,w4_tc4_v0,fp16,256,fused_tc_split_int4,3,109.293,109.123,110.042
NVIDIA H200,w4_tc4_v0,fp16,256,fused_warp_int4,3,51.505,51.392,51.5248
NVIDIA H200,w4_tc4_v0,fp16,256,optimized,3,85.2029,85.1747,85.29599999999999
NVIDIA H200,w4_tc4_v0,fp16,256,tc_fast,3,88.2102,88.1517,88.96640000000001
NVIDIA H200,w4_tc4_v0,fp16,256,tc_split,3,108.751,108.57799999999999,109.579
NVIDIA H200,w4_tc4_v0,fp16,256,unfused_int4,3,121.31400000000001,121.20100000000001,121.62299999999999
NVIDIA H200,w4_tc4_v0,fp16,256,warp,3,39.9974,39.8576,40.0688
NVIDIA H200,w4_tc4_v0,fp16,512,baseline,3,413.211,413.1,413.228
NVIDIA H200,w4_tc4_v0,fp16,512,fused_opt_int4,3,207.706,207.541,207.846
